county_fips,county_name,data_mode,poverty_pct,median_household_income,uninsured_pct,pct_age_65_plus,disability_pct,transportation_access_proxy,internet_access_gap_pct,primary_care_physicians_per_100k,mental_health_providers_per_100k,dental_providers_per_100k,hpsa_primary_care_score,hpsa_primary_care_count,hpsa_primary_care_designated,hpsa_mental_health_score,hpsa_mental_health_count,hpsa_mental_health_designated,hpsa_dental_score,hpsa_dental_count,hpsa_dental_designated,hospital_count,acute_care_hospitals,emergency_services_count,avg_hospital_star_rating,hospital_count_per_100k,diabetes_pct,obesity_pct,hypertension_pct,poor_or_fair_health_pct,smoking_pct,frequent_physical_distress_pct,routine_checkup_pct,provider_gap_index,socioeconomic_need_index,insurance_access_burden_index,chronic_burden_index,hospital_quality_gap_index,access_risk_score,high_access_risk,top_risk_factor,source_acs,source_cdc_places,source_hrsa_hpsa,source_cms_hospital_quality
24025,Harford,mixed_real_and_demo_data,7.14,112265.0,3.55,17.45,11.27,4.43,4.43,79,170,55,14.0,1,1,12.0,1,1,6.0,1,1,2.0,1.0,2.0,2.0,0.7582737140625652,11.6,35.8,35.9,15.9,10.9,12.1,79.7,57.94997706412359,26.35494416348246,9.61068757746582,34.50722639111384,66.7796489084379,35.4,0,Hospital availability/quality burden,real_public_data,real_public_data,real_public_data,real_public_data
24027,Howard,mixed_real_and_demo_data,5.23,149763.0,4.23,15.25,8.67,3.63,2.06,112,275,83,0.0,0,0,0.0,0,0,0.0,0,0,1.0,1.0,1.0,3.0,0.29732879807806667,10.4,30.0,34.5,12.4,7.4,9.5,80.8,4.723923948721126,4.900172846442842,9.322879400600394,7.685576259489296,65.3401161111432,12.5,0,Hospital availability/quality burden,real_public_data,real_public_data,real_public_data,real_public_data
24029,Kent,mixed_real_and_demo_data,9.66,80147.0,6.06,27.42,15.28,5.71,11.24,74,150,49,17.0,1,1,12.0,1,1,0.0,0,0,1.0,1.0,1.0,5.0,5.169027189083014,13.7,35.1,43.0,19.0,11.9,13.3,80.8,54.39107531528717,57.45810779410698,38.24773425999251,60.58038903409745,5.833333333333333,48.6,0,Chronic disease burden,real_public_data,real_public_data,real_public_data,real_public_data
24031,Montgomery,mixed_real_and_demo_data,7.45,132450.0,6.95,16.99,9.42,8.5,2.59,128,310,92,21.0,5,1,22.0,2,1,25.0,3,1,7.0,7.0,6.0,2.5,0.6566918304721896,10.8,26.1,32.7,15.4,7.2,10.5,77.5,71.42851170568562,18.13928015574142,32.91753535934494,9.211735976441858,73.30673393581013,35.0,0,Hospital availability/quality burden,real_public_data,real_public_data,real_public_data,real_public_data
24033,Prince George's,mixed_real_and_demo_data,10.84,101798.0,11.4,14.91,10.49,9.17,4.11,64,150,48,22.0,4,1,22.0,3,1,26.0,1,1,0.0,0.0,0.0,0.0,0.0,15.2,42.2,40.0,20.9,10.5,12.6,78.2,89.3696876882052,34.92642754808733,64.883637204488,70.11922062024362,87.08333333333333,65.8,1,Provider shortage burden,real_public_data,real_public_data,real_public_data,real_public_data
24035,Queen Anne's,mixed_real_and_demo_data,6.44,112826.0,5.68,20.68,10.52,3.18,5.31,58,120,42,16.0,1,1,14.0,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,11.6,29.4,38.4,16.2,11.7,12.4,77.8,58.455740421112914,26.287170173977394,23.502444054131097,33.08345621414673,89.79166666666667,40.2,0,Hospital availability/quality burden,real_public_data,real_public_data,real_public_data,real_public_data
24039,Somerset,mixed_real_and_demo_data,16.36,64943.0,3.62,17.8,15.05,7.62,13.3,38,69,25,20.0,1,1,18.0,1,1,16.0,1,1,0.0,0.0,0.0,0.0,0.0,14.2,38.4,42.7,23.8,16.9,14.9,79.6,85.71627647714604,69.08930326789493,27.814860777273275,82.34856618232575,85.20833333333333,69.1,1,Provider shortage burden,real_public_data,real_public_data,real_public_data,real_public_data
24037,St. Mary's,mixed_real_and_demo_data,7.98,119446.0,3.87,14.02,11.86,3.16,5.94,66,132,47,10.0,1,1,14.0,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,11.4,37.4,34.7,17.1,12.7,11.9,77.5,50.53468078155139,24.183177685590337,12.79148901000716,37.66457129116975,87.5,36.9,0,Hospital availability/quality burden,real_public_data,real_public_data,real_public_data,real_public_data
24041,Talbot,mixed_real_and_demo_data,9.33,84811.0,3.94,29.56,15.31,7.28,7.82,118,205,76,0.0,0,0,0.0,0,0,15.0,1,1,1.0,1.0,1.0,4.0,2.637339451960862,13.1,30.1,41.6,18.4,10.9,13.6,82.8,21.204722477621466,57.404378337267865,20.638061599848896,49.15228695714628,34.04011393306432,38.4,0,Socioeconomic vulnerability,real_public_data,real_public_data,real_public_data,real_public_data
24043,Washington,mixed_real_and_demo_data,12.42,77747.0,6.26,18.08,15.3,7.71,9.71,82,160,50,21.0,3,1,18.0,5,1,25.0,2,1,2.0,1.0,1.0,3.0,1.2844472702284389,13.3,39.0,38.9,20.5,15.1,14.3,79.5,81.90864558437086,56.27980640314104,39.168914928290334,64.84853526694957,58.57668861236573,60.4,0,Provider shortage burden,real_public_data,real_public_data,real_public_data,real_public_data
24045,Wicomico,mixed_real_and_demo_data,13.94,76210.0,6.66,16.63,11.9,5.67,7.1,95,185,57,21.0,2,1,22.0,2,1,26.0,2,1,1.0,1.0,1.0,4.0,0.9531616371504279,12.6,39.6,36.7,20.7,13.4,13.1,81.0,83.10409707281741,53.715480201746395,35.37258243709457,56.88014514612978,49.92229883069761,56.3,0,Provider shortage burden,real_public_data,real_public_data,real_public_data,real_public_data
24047,Worcester,mixed_real_and_demo_data,9.94,81745.0,5.04,28.62,15.37,5.94,6.84,84,150,54,15.0,1,1,12.0,1,1,11.0,1,1,1.0,1.0,1.0,3.0,1.86219739292365,13.7,33.1,42.1,18.3,12.3,13.9,83.1,62.280761499749474,58.99874258332213,24.753183895918372,56.76307642343447,50.377553870710294,51.4,0,Provider shortage burden,real_public_data,real_public_data,real_public_data,real_public_data
