HPSA Name,HPSA ID,Designation Type,HPSA Discipline Class,HPSA Score,Primary State Abbreviation,HPSA Status,HPSA Designation Date,HPSA Designation Last Update Date,Metropolitan Indicator,HPSA Geography Identification Number,HPSA Degree of Shortage,Withdrawn Date,HPSA FTE,HPSA Designation Population,% of Population Below 100% Poverty,HPSA Formal Ratio,HPSA Population Type,Rural Status,Longitude,Latitude,BHCMIS Organization Identification Number,Break in Designation,Common County Name,Common Postal Code,Common Region Name,Common State Abbreviation,Common State County FIPS Code,Common State FIPS Code,Common State Name,County Equivalent Name,County or County Equivalent Federal Information Processing Standard Code,Discipline Class Number,HPSA Address,HPSA City,HPSA Component Name,HPSA Component Source Identification Number,HPSA Component State Abbreviation,HPSA Component Type Code,HPSA Component Type Description,HPSA Designation Population Type Description,HPSA Estimated Served Population,HPSA Estimated Underserved Population,HPSA Metropolitan Indicator Code,HPSA Population Type Code,HPSA Postal Code,HPSA Provider Ratio Goal,HPSA Resident Civilian Population,HPSA Shortage,HPSA Status Code,HPSA Type Code,HPSA Withdrawn Date String,Primary State FIPS Code,Primary State Name,Provider Type,Rural Status Code,State Abbreviation,State and County Federal Information Processing Standard Code,State FIPS Code,State Name,U.S. - Mexico Border 100 Kilometer Indicator,U.S. - Mexico Border County Indicator,Data Warehouse Record Create Date,Data Warehouse Record Create Date Text,Unnamed: 64,county_fips
ME-South East Baltimore City,6249262689,HPSA Population,Dental Health,16,MD,Withdrawn,12/28/2018,01/02/2024,Unknown,24510010100,Not applicable,01/02/2024,0.2200,16138.0,18.3,73355:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,6,,,101,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,880,15258,0,M,,4000:1,,3.8100,W,Hpsa Pop,2024/01/02,24,Maryland,Not Applicable,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME-South East Baltimore City,6249262689,HPSA Population,Dental Health,16,MD,Withdrawn,12/28/2018,01/02/2024,Unknown,24510060200,Not applicable,01/02/2024,0.2200,16138.0,18.3,73355:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,6,,,602,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,880,15258,0,M,,4000:1,,3.8100,W,Hpsa Pop,2024/01/02,24,Maryland,Not Applicable,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME-South East Baltimore City,6249262689,HPSA Population,Dental Health,16,MD,Withdrawn,12/28/2018,01/02/2024,Unknown,24510260404,Not applicable,01/02/2024,0.2200,16138.0,18.3,73355:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,6,,,2604.04,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,880,15258,0,M,,4000:1,,3.8100,W,Hpsa Pop,2024/01/02,24,Maryland,Not Applicable,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME-South East Baltimore City,6249262689,HPSA Population,Dental Health,16,MD,Withdrawn,12/28/2018,01/02/2024,Unknown,24510020200,Not applicable,01/02/2024,0.2200,16138.0,18.3,73355:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,6,,,202,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,880,15258,0,M,,4000:1,,3.8100,W,Hpsa Pop,2024/01/02,24,Maryland,Not Applicable,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
ME-South East Baltimore City,6249262689,HPSA Population,Dental Health,16,MD,Withdrawn,12/28/2018,01/02/2024,Unknown,24510020300,Not applicable,01/02/2024,0.2200,16138.0,18.3,73355:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Baltimore City, MD",,Region 3,MD,24510,24,Maryland,Baltimore City,510,6,,,203,,MD,CT,Census Tract,Medicaid Eligible Population HPSA,880,15258,0,M,,4000:1,,3.8100,W,Hpsa Pop,2024/01/02,24,Maryland,Not Applicable,N,MD,24510,24,Maryland,N,N,06/15/2026,2026/06/15,,24510
Frederick County,6249240334,High Needs Geographic HPSA,Dental Health,12,MD,Proposed For Withdrawal,09/09/2021,09/22/2025,Unknown,24021,Not applicable,,30.9500,246445.0,6.8,7963:1,Geographic Population,Partially Rural,,,,N,"Frederick County, MD",,Region 3,MD,24021,24,Maryland,Frederick,021,6,,,Frederick,,MD,SCTY,Single County,Geographic Population,123800,122645,0,TRC,,4000:1,,30.6600,P,Hpsa Geo HN,,24,Maryland,Not Applicable,P,MD,24021,24,Maryland,N,N,06/15/2026,2026/06/15,,24021
ME-Somerset County,6248986709,HPSA Population,Dental Health,16,MD,Designated,05/03/2022,05/03/2022,Unknown,24039,Not applicable,,1.4910,9815.0,21.6,6583:1,Medicaid Eligible Population HPSA,Rural,,,,N,"Somerset County, MD",,Region 3,MD,24039,24,Maryland,Somerset,039,6,,,Somerset,,MD,SCTY,Single County,Medicaid Eligible Population HPSA,5964,3851,0,M,,4000:1,,0.9590,D,Hpsa Pop,,24,Maryland,Not Applicable,R,MD,24039,24,Maryland,N,N,06/15/2026,2026/06/15,,24039
ME-Tri-County Lower Eastern Shore,6248933191,HPSA Population,Dental Health,17,MD,Withdrawn,10/25/2018,01/02/2024,Unknown,24039,Not applicable,01/02/2024,1.9100,44780.0,15.4,23445:1,Medicaid Eligible Population HPSA,Rural,,,,N,"Somerset County, MD",,Region 3,MD,24039,24,Maryland,Somerset,039,6,,,Somerset,,MD,SCTY,Single County,Medicaid Eligible Population HPSA,7640,37140,0,M,,4000:1,,9.2900,W,Hpsa Pop,2024/01/02,24,Maryland,Not Applicable,R,MD,24039,24,Maryland,N,N,06/15/2026,2026/06/15,,24039
ME-Tri-County Lower Eastern Shore,6248933191,HPSA Population,Dental Health,17,MD,Withdrawn,10/25/2018,01/02/2024,Unknown,24047,Not applicable,01/02/2024,1.9100,44780.0,15.4,23445:1,Medicaid Eligible Population HPSA,Rural,,,,N,"Worcester County, MD",,Region 3,MD,24047,24,Maryland,Worcester,047,6,,,Worcester,,MD,SCTY,Single County,Medicaid Eligible Population HPSA,7640,37140,0,M,,4000:1,,9.2900,W,Hpsa Pop,2024/01/02,24,Maryland,Not Applicable,R,MD,24047,24,Maryland,N,N,06/15/2026,2026/06/15,,24047
ME-Tri-County Lower Eastern Shore,6248933191,HPSA Population,Dental Health,17,MD,Withdrawn,10/25/2018,01/02/2024,Unknown,24045,Not applicable,01/02/2024,1.9100,44780.0,15.4,23445:1,Medicaid Eligible Population HPSA,Non-Rural,,,,N,"Wicomico County, MD",,Region 3,MD,24045,24,Maryland,Wicomico,045,6,,,Wicomico,,MD,SCTY,Single County,Medicaid Eligible Population HPSA,7640,37140,0,M,,4000:1,,9.2900,W,Hpsa Pop,2024/01/02,24,Maryland,Not Applicable,N,MD,24045,24,Maryland,N,N,06/15/2026,2026/06/15,,24045
